cardholder_id,card_id,cashback_amount,transaction_id,created_at,merchant_id,name,category
b5a5bfa5-9519-4363-9ba4-ec8a6a606228,834b8bf8-2702-ef11-a574-b8cef6052491,5.0,584119810998961,2024-05-01 06:34:47,216,Menulog,Restaurants
270bfaa4-f0f8-47b8-8b96-f336ae9d1df6,95808203-0f02-ef11-a574-b8cef6052491,3.92,584120062389626,2024-05-01 06:42:38,259,Superdry,Fashion & Retail
2d04e29a-1847-4bad-aa2b-c4fafe1f7d49,c8028b14-0e02-ef11-a574-b8cef6052491,5.0,464120062851479,2024-05-01 07:18:17,216,Menulog,Restaurants
19754dd5-0a8c-41cd-98fc-1907e9d3cdce,461d9fef-0502-ef11-a574-b8cef6052491,5.0,584120029148381,2024-05-01 07:19:33,216,Menulog,Restaurants
a506a713-74f8-429f-9356-46dd303c0e20,cb2d79c3-3f02-ef11-a574-b8cef6052491,3.74,384120167044180,2024-05-01 07:27:14,252,Move with us,Health and Wellness
1cae78c4-4304-463f-a003-1581208b5052,758e0786-2d02-ef11-a574-b8cef6052491,5.0,584119573781349,2024-05-01 07:27:32,216,Menulog,Restaurants
e31262c4-dcae-468a-8bb5-78e4f12befe1,151cafec-3602-ef11-a574-b8cef6052491,5.0,584119798284607,2024-05-01 07:52:02,216,Menulog,Restaurants
983f02d4-18dc-4c06-8f81-11be71c647e7,a44b0b51-d501-ef11-a574-b8cef6052491,1.19,384120072061531,2024-05-01 08:08:14,240,Automotive Superstore,Retailers
e23257ff-111c-4868-81c6-5e4941a2e84d,7ad5e4e4-2502-ef11-a574-b8cef6052491,5.0,464120020791057,2024-05-01 08:36:21,216,Menulog,Restaurants
8622a0c7-4b40-4c52-a848-a5d4f2d8cfb7,b392958d-f401-ef11-a574-b8cef6052491,3.74,384120197854284,2024-05-01 08:50:57,252,Move with us,Health and Wellness
f47f0467-ce34-4790-9389-7e15d8401fdc,c966078a-0502-ef11-a574-b8cef6052491,5.0,304119805663749,2024-05-01 08:56:52,263,General Pants Co. Online,Fashion & Retail
27c9d1a0-56c3-401b-a7e7-e28dc3539604,c0000001-2b02-ef11-a574-b8cef6052491,5.0,304119836776514,2024-05-01 08:57:02,216,Menulog,Restaurants
9d011f78-96d1-4867-8377-27393d1d71dc,5c512ed8-d201-ef11-a574-b8cef6052491,5.0,584120001043483,2024-05-01 08:59:41,216,Menulog,Restaurants
5ec3ed16-3c1b-443d-b85e-327922a43560,1663519b-0b02-ef11-a574-b8cef6052491,9.49,304120045525819,2024-05-01 09:01:14,255,Shoes & Sox,Fashion & Retail
a0ab264c-d3e9-440a-8731-e51834f23301,399b022e-f401-ef11-a574-b8cef6052491,5.0,384120016689537,2024-05-01 09:15:08,216,Menulog,Restaurants
c36784d3-d34a-4fca-aeb3-2b4b1fe2e42f,6a25df2f-1502-ef11-a574-b8cef6052491,5.0,304119841408957,2024-05-01 09:29:14,216,Menulog,Restaurants
ebde30f9-8071-41e5-b582-f55bb7a0de61,b2e1d50c-0c02-ef11-a574-b8cef6052491,5.0,304119779256496,2024-05-01 09:29:34,216,Menulog,Restaurants
0aca14a8-784e-4b19-8660-72b3e8270ded,9b296c98-eb01-ef11-a574-b8cef6052491,1.45,384120391214515,2024-05-01 09:36:52,240,Automotive Superstore,Retailers
3fdc571e-fcc7-4c9b-9cfd-342fcd81325c,052d77e0-1202-ef11-a574-b8cef6052491,5.0,384120039746401,2024-05-01 09:49:54,216,Menulog,Restaurants
febb7c45-2c87-4e5f-864a-77b9b677863a,eacd2f51-0f02-ef11-a574-b8cef6052491,3.74,384120167121378,2024-05-01 09:57:29,252,Move with us,Health and Wellness
c28f5a70-92b0-4c45-8635-8fb690dc2a00,087b5c1b-fb01-ef11-a574-b8cef6052491,5.0,304119839138052,2024-05-01 10:08:23,216,Menulog,Restaurants
ef64f7b5-eb66-47aa-b4e4-b305240e209e,c5c7ed3b-2a02-ef11-a574-b8cef6052491,9.99,384120257704948,2024-05-01 10:14:08,259,Superdry,Fashion & Retail
bb57e336-2861-4e4c-a27e-627f9c3bd1ad,14cfa7aa-2e02-ef11-a574-b8cef6052491,5.0,584120012135406,2024-05-01 10:19:17,216,Menulog,Restaurants
9960ac66-abac-4b05-a28c-a344f961c140,9f51c080-1902-ef11-a574-b8cef6052491,5.11,304120179007964,2024-05-01 10:25:17,264,Star Car Wash Australia,Retailers
86980375-df3d-4066-b3dc-1562ada55864,e8bf5f4f-0d02-ef11-a574-b8cef6052491,5.0,384120216636931,2024-05-01 10:25:30,216,Menulog,Restaurants
b25a5847-7c47-49ec-afbb-87eb5af9b7d0,54c9f00c-2b02-ef11-a574-b8cef6052491,5.0,304119845921330,2024-05-01 10:35:16,216,Menulog,Restaurants
dace9c5c-6e5a-4ccd-99ff-35130ac01ea5,e8c9096f-0f02-ef11-a574-b8cef6052491,3.74,464120167523450,2024-05-01 10:52:52,252,Move with us,Health and Wellness
dec19607-3d37-4d93-9172-1d322c1c648b,be2aa0df-2d02-ef11-a574-b8cef6052491,5.0,304119854047535,2024-05-01 11:23:46,216,Menulog,Restaurants
38c88fe1-41d9-499f-bb23-7de53e38ed6a,8b60fc62-0802-ef11-a574-b8cef6052491,5.0,384120353342431,2024-05-01 11:28:59,263,General Pants Co. Online,Fashion & Retail
2d593764-9510-4610-a141-9bd5ba88d473,b7946bf1-1802-ef11-a574-b8cef6052491,5.0,464119855103181,2024-05-01 11:42:30,216,Menulog,Restaurants
b0ed99a3-1e9a-4b03-ba68-b2aa7a43ecbd,ef693ac6-f001-ef11-a574-b8cef6052491,15.0,464120128188150,2024-05-01 11:51:50,249,LVLY,Retailers
50597720-696d-4550-8cf9-546b982c20dc,1d0dfd9d-fa01-ef11-a574-b8cef6052491,5.4,464120016312318,2024-05-01 11:57:10,213,LEGOLAND Discovery Centre Melbourne Australia,Entertainment
eca23e22-37df-4d49-b013-fb79a52f8e1a,28021de7-fc01-ef11-a574-b8cef6052491,3.74,304120167333444,2024-05-01 11:57:29,252,Move with us,Health and Wellness
54a4149c-14d9-4428-9e98-291cb2672f6f,0d2632a9-2502-ef11-a574-b8cef6052491,5.09,384119841683113,2024-05-01 11:57:36,210,Sealife Sydney Australia,Entertainment
cab630a9-0ce6-419d-9d51-05c2f8f45685,d58da9d9-f201-ef11-a574-b8cef6052491,5.0,464120025005419,2024-05-01 12:06:09,216,Menulog,Restaurants
9757d407-ab3a-4dce-84ab-17d5f358a9eb,d31b6245-2002-ef11-a574-b8cef6052491,5.0,384120341000998,2024-05-01 12:10:15,263,General Pants Co. Online,Fashion & Retail
ce55f106-0cfd-40b4-acb6-0c74cc2c5cbd,85d8ff1e-1cb8-ea11-8132-1c98ec1324d6,3.74,384120167032606,2024-05-01 12:20:21,252,Move with us,Health and Wellness
9a95a0ca-7b5e-401a-a721-33f48086e580,9cadde06-0c02-ef11-a574-b8cef6052491,5.0,584119857251215,2024-05-01 12:22:40,216,Menulog,Restaurants
c110f993-f79a-4a6c-98e1-a5389dd0c115,f39966e6-0802-ef11-a574-b8cef6052491,39.79,584120348066039,2024-05-01 12:22:54,250,LSKD,Fashion & Retail
c6e251c6-408d-48cb-86ff-096dbd411be7,aafc8bce-1202-ef11-a574-b8cef6052491,5.0,584119518761430,2024-05-01 12:33:43,216,Menulog,Restaurants
b2e85790-1bda-43a4-adcf-8a1b9c34edd2,b1056638-0e02-ef11-a574-b8cef6052491,5.0,304119814613174,2024-05-01 12:40:01,216,Menulog,Restaurants
813e3875-926d-479b-9f03-f4186a693312,0879f384-3302-ef11-a574-b8cef6052491,5.0,584119801861124,2024-05-01 12:41:51,216,Menulog,Restaurants
c1fdd14a-57fa-4ce6-9798-1cd6ebf708e4,70cd61de-3b02-ef11-a574-b8cef6052491,5.0,304120011185538,2024-05-01 13:17:48,216,Menulog,Restaurants
a1021638-cb20-479c-9566-f35f81062450,b61e2ba3-0102-ef11-a574-b8cef6052491,2.05,464120115810143,2024-05-01 13:25:20,240,Automotive Superstore,Retailers
27253b14-147c-4737-ab82-374dd5274a84,03e7908a-f801-ef11-a574-b8cef6052491,22.19,384119812509328,2024-05-01 13:27:34,250,LSKD,Fashion & Retail
65f0ccc6-8ad1-4864-8294-5b9fbcde23ad,57447567-f101-ef11-a574-b8cef6052491,5.0,304119829942481,2024-05-01 13:28:55,216,Menulog,Restaurants
71329c85-174b-4c60-923d-106ba1c25f3b,249c6900-ef01-ef11-a574-b8cef6052491,15.0,384120004244154,2024-05-01 13:33:24,249,LVLY,Retailers
74d44c29-fdfc-463e-8e54-576f61181845,2c289015-3e02-ef11-a574-b8cef6052491,5.0,584120005114502,2024-05-01 13:33:31,216,Menulog,Restaurants
ffc23bd3-f551-4f1a-a325-bc51c0a44ab9,61be600c-ff01-ef11-a574-b8cef6052491,5.0,304120341586961,2024-05-02 09:34:26,216,Menulog,Restaurants
9a2998d3-ed8b-435d-b948-2ff3cab66b63,ed7b0788-2102-ef11-a574-b8cef6052491,5.0,384120122701214,2024-05-02 09:34:30,216,Menulog,Restaurants
30f53005-f6c1-4d38-a7bb-277aa8b94499,4e8f0786-2d02-ef11-a574-b8cef6052491,5.0,384120303451701,2024-05-02 09:40:38,216,Menulog,Restaurants
